Наименование товара,Цена,Цена от,Цена до,Категория,Ссылка на товар на сайте магазина,Ссылка на картинку,Описание
Порошковая покраска диска R13–R16,2750,,,Покраска дисков,https://bi-color.ru/pokraska-diskov-moskva,https://bi-color.ru/pokraska-6.jpg,Трёхслойное нанесение: грунт — краска — лак. Любой цвет RAL. Гарантия 4 года. Цена за 1 диск R13–R16.
Порошковая покраска диска R17–R18,3250,,,Покраска дисков,https://bi-color.ru/pokraska-diskov-moskva,https://bi-color.ru/pokraska-8.jpg,Трёхслойное нанесение: грунт — краска — лак. Любой цвет RAL. Гарантия 4 года. Цена за 1 диск R17–R18.
Порошковая покраска диска R19 и выше,3500,,,Покраска дисков,https://bi-color.ru/pokraska-diskov-moskva,https://bi-color.ru/pokraska-10.jpg,Трёхслойное нанесение: грунт — краска — лак. Любой цвет RAL. Гарантия 4 года. Цена за 1 диск R19+.
Порошковая покраска — комплект 4 диска R13–R16,11000,,,Покраска дисков,https://bi-color.ru/pokraska-diskov-moskva,https://bi-color.ru/pokraska-7.jpg,Покраска комплекта из 4 дисков R13–R16. Трёхслойное нанесение. Любой цвет RAL. Гарантия 4 года.
Порошковая покраска — комплект 4 диска R17–R18,13000,,,Покраска дисков,https://bi-color.ru/pokraska-diskov-moskva,https://bi-color.ru/pokraska-9.jpg,Покраска комплекта из 4 дисков R17–R18. Трёхслойное нанесение. Любой цвет RAL. Гарантия 4 года.
Алмазная проточка диска (1 диск),5000,,,Алмазная проточка,https://bi-color.ru/almaznaya-prochka-diskov,https://bi-color.ru/prochka-1.jpg,Обработка лицевой поверхности на токарном станке с ЧПУ. Восстанавливает зеркальный заводской блеск diamond cut. Гарантия 4 года.
Алмазная проточка + покраска обода (1 диск),7500,,,Алмазная проточка,https://bi-color.ru/almaznaya-prochka-diskov,https://bi-color.ru/prochka-4.jpg,Лицевая часть протачивается на станке с ЧПУ. Обод красится в выбранный цвет (чёрный. антрацит или любой RAL). Гарантия 4 года.
Правка геометрии диска (1 диск),,1500,,Ремонт дисков,https://bi-color.ru/remont-diskov-moskva,https://bi-color.ru/work-1.jpg,Устранение биения и восьмёрки на специальном стенде. После правки — обязательная балансировка. Бесплатная диагностика ремонтопригодности.
Ремонт диска — Димет / аргонная сварка TIG,,2500,,Ремонт дисков,https://bi-color.ru/remont-diskov-moskva,https://bi-color.ru/work-3.jpg,Устранение сколов. трещин и повреждений обода. Технология Димет (холодное напыление) или аргонная сварка TIG. Гарантия. Бесплатная диагностика.
Покраска тормозного суппорта (1 суппорт),2000,,,Покраска суппортов,https://bi-color.ru/pokraska-supportov-moskva,https://bi-color.ru/work-5.jpg,Термостойкая краска до 300°C. Любой цвет RAL: красный. жёлтый. синий. чёрный. Полная подготовка поверхности. Цена за 1 суппорт.
Покраска тормозных суппортов — комплект 4 шт,8000,,,Покраска суппортов,https://bi-color.ru/pokraska-supportov-moskva,https://bi-color.ru/work-5.jpg,Покраска комплекта из 4 суппортов термостойкой краской до 300°C. Любой цвет RAL. Полная подготовка поверхности.
